shop_name,shop_address,shop_official
"
            
            焼鳥 鳥せい 北浦和店
            
            
          ",埼玉県さいたま市浦和区常盤9-13-5,
"
            
            いちげん 武蔵浦和店
            
            
          ",埼玉県さいたま市南区沼影1-15-12,
"
            
            やきとりモンキー 春日部店
            
            
          ",埼玉県春日部市中央1-47-4,"
                    https://www.instagram.com/yakitorimonkey 
"
"
            
            烏賊・鮨ダイニング 鮮助 西口店
            （センスケ）
            
          ",埼玉県さいたま市大宮区桜木町2-220-2,"
                    https://www.instagram.com/sensuke_nisiguchi
"
"
            
            MOANA cafe＆diner
            （モアナ カフェ＆ダイナー）
            
          ",埼玉県川越市脇田町14-6 1F,
"
            
            地鶏×鮮魚 個室居酒屋 もみじ香 川越本店
            
            
          ",埼玉県川越市新富町2-27-1 1F,
"
            
            高知藁焼き 屋台餃子 土佐宿毛マーケット
            （コウチワラヤキヤタイギョウザトサスクモマーケット）
            
          ",埼玉県さいたま市浦和区仲町1-10-1 PORAMビル　5F,
"
            
            Fresco Caffe
            （Fresco Caffé）
            
          ",埼玉県上尾市柏座2-4-4 コウトクエンタープライズビル,
"
            
            彩賓楼
            （サイヒンロウ）
            
          ",埼玉県さいたま市中央区新都心3-2 ラフレさいたま　３Ｆ,
"
            
            個室もつ鍋屋 あらまさ 西川口店
            
            
          ",埼玉県川口市西川口1-6-3 西川口ビル 5F,
"
            
            桃栗
            （モモクリ）
            
          ",埼玉県さいたま市大宮区宮町1-95,
"
            
            アロハテーブル ルミネ大宮
            （【旧店名】アロハテーブル ルミネ大宮 ハワイアンビアガーデン）
            
          ",埼玉県さいたま市大宮区錦町630 ルミネ大宮店 ルミネ2 4F,
"
            
            circolo 熊谷店
            （チルコロ）
            
          ",埼玉県熊谷市筑波2-42 成蹊ビル 1F,"
                    https://www.instagram.com/kitchen_circolo/
"
"
            
            carnegico
            （カルネジコ）
            
          ",埼玉県さいたま市浦和区仲町1-10-17,
"
            
            天津飯店 コクーンシティさいたま新都心店
            
            
          ",埼玉県さいたま市大宮区吉敷町4-263-1 コクーンシティ コクーン2 1F,"
                    https://www.instagram.com/tenshinhanten_saitama_official/
"
"
            
            KANSAI 羽生店
            
            
          ",埼玉県羽生市南4-8-28,"
                    https://www.instagram.com/kansai_official/?igshid=6pmu9gsp92dr
"
"
            
            遊庵
            （ゆうあん）
            
          ",埼玉県越谷市南越谷1-20-2 寿ビル　１Ｆ,
"
            
            ハイドウェイダイニング 555
            （HIDEAWAYDINING 555）
            
          ",埼玉県川越市脇田本町9-5 アーバンライフビル 2F,
"
            
            大阪焼肉・ホルモン ふたご 浦和店
            
            
          ",埼玉県さいたま市浦和区高砂2-12-21 エムエム高砂ビル 1F,
"
            
            和食郷土料理 個室居酒屋 川越屋 川越本店
            
            
          ",埼玉県川越市新富町2-27-12 1F,
"
            
            syo 昇
            （ショウ）
            
          ",埼玉県朝霞市浜崎1-7-12 アーバンハイム浜崎　１Ｆ,"
                    https://www.instagram.com/syo.asakadai/
"
"
            
            Dining松幸
            （ダイニングマツコウ）
            
          ",埼玉県所沢市小手指町1-42-6 1F,"
                    https://www.instagram.com/p/BYr8ihqhBc6/
"
"
            
            ボラボラ 大宮店
            （BoraBora）
            
          ",埼玉県さいたま市大宮区宮町1-114-1 OREビル B1F,"
                    https://www.instagram.com/borabora.omiya/
"
"
            
            いちげん 戸田店
            （【旧店名】食彩屋一源 戸田店）
            
          ",埼玉県戸田市新曽199-1,
"
            
            くいもの屋 わん 大宮すずらん通り店
            
            
          ",埼玉県さいたま市大宮区大門町1-17 丸藤ビル　２Ｆ,"
                    https://www.instagram.com/wanomiyasuzurandori/?hl=ja
"
"
            
            香福園
            （【旧店名】源縁苑）
            
          ",埼玉県さいたま市大宮区仲町2-42 セッテ・イン大宮 2F,
"
            
            ケセラ・セナラ
            
            
          ",埼玉県さいたま市中央区新都心10 けやきひろば1F,
"
            
            広島鉄板 毛利
            
            
          ",埼玉県富士見市ふじみ野東1-21-1 ラガールふじみ野102,"
                    https://www.instagram.com/hiroshimateppanmouri
"
"
            
            大宮 肉寿司
            
            
          ",埼玉県さいたま市大宮区仲町1-33-6 岩淵ビル 1F,"
                    https://www.instagram.com/omiya_nikuzushi/
"
"
            
            しみづや
            （SHIMIZU YA）
            
          ",埼玉県さいたま市大宮区下町1-11 Eikaro 1F,
"
            
            全席個室居酒屋 忍家 朝霞台南口店
            
            
          ",埼玉県朝霞市東弁財1-4-12 エルバ朝霞台　４Ｆ,
"
            
            大宮 伊勢錦
            （おおみや いせきん）
            
          ",埼玉県さいたま市大宮区高鼻町1-37-1,
"
            
            全220品食べ放題＆飲み放題 完全個室 京隠れ 大宮店
            
            
          ",埼玉県さいたま市大宮区宮町1-97-2 二葉ビル 3F,
"
            
            酒房 あやとり
            
            
          ",埼玉県川口市並木2-24-1 2F,
"
            
            鳥光國 さいたま新都心店
            
            
          ",埼玉県さいたま市中央区新都心11-1 JRさいたま新都心ビル 4F,
"
            
            寿司・懐石處 やなぎ
            
            
          ",埼玉県飯能市仲町2-10,"
                    https://www.instagram.com/sushi_kaisekidokoro_yanagi
"
"
            
            肉バル ビーキッチン
            （B-kitchen）
            
          ",埼玉県久喜市久喜東2-4-7,"
                    https://www.instagram.com/up_b_kitchen/
"
"
            
            いちげん 中浦和店
            
            
          ",埼玉県さいたま市南区鹿手袋2-790-3,
"
            
            個室居酒屋 時しらず 大宮駅前店
            
            
          ",埼玉県さいたま市大宮区大門町1-69 武蔵屋ビル 2F,
"
            
            全席個室ダイニング168 南越谷店
            （いろは）
            
          ",埼玉県越谷市南越谷1-19-3 パインズビル 7F,
"
            
            炭火焼肉すみいち 川越店
            
            
          ",埼玉県川越市新富町1-18-8 沼野ビル 2F,
"
            
            ＫＡＮＳＡＩ 熊谷別府店
            （かんさい）
            
          ",埼玉県熊谷市別府5-86,"
                    https://www.instagram.com/kansai_official/?igshid=6pmu9gsp92dr
"
"
            
            個室居酒屋 鳥助 南越谷店
            
            
          ",埼玉県越谷市南越谷1-19-3 8F,
"
            
            全席個室居酒屋 忍家 ふじみ野駅前店
            
            
          ",埼玉県富士見市ふじみ野西1-20-2 第７マツモトビル　３Ｆ,
"
            
            タイ衆酒場 RUFUS
            （ルフス）
            
          ",埼玉県さいたま市大宮区宮町4-4 花のシマムラビル 5F,"
                    https://www.instagram.com/https://www.instagram.com/rufus_thaifoods_wine/
"
"
            
            完全個室居酒屋 奏屋 南越谷
            （カンゼンコシツイザカヤカナデヤ）
            
          ",埼玉県越谷市南越谷2-2-12 コアーズビル 2F,
"
            
            小江戸の肉バル 蔵や
            
            
          ",埼玉県川越市新富町2-13-11,
"
            
            和食 紅琳
            （コウリン）
            
          ",埼玉県坂戸市南町3-2 グランドヒルズ福徳壱番館 2F,"
                    https://www.instagram.com/kourin3939
"
"
            
            旬菜家 介 宮原店
            （シュンサイヤカイミヤハラテン）
            
          ",埼玉県さいたま市北区宮原町3-317 ヒロックスビル1F,
"
            
            くいもの屋 わん 志木店
            
            
          ",埼玉県新座市東北2-39-10 ドゥーセット弐番館　５Ｆ,
"
            
            日本料理 花むら
            （ハナムラ）
            
          ",埼玉県羽生市上手子林460,
"
            
            宴会個室とお鍋 所沢日和 所沢プロぺ通り店
            （【旧店名】個室でバカ盛り 飲むか食べるか）
            
          ",埼玉県所沢市日吉町8-5 フジノビル 3F-B,
"
            
            個室居酒屋 蔵之介 熊谷店
            （【旧店名】味都）
            
          ",埼玉県熊谷市筑波2-49 二葉ビル  2F・3F,"
                    https://www.instagram.com/ajito_kumagaya
"
"
            
            地鶏専門個室 よし澄 さいたま新都心店 
            （【旧店名】地鶏専門個室居酒屋 鳥彩）
            
          ",埼玉県さいたま市大宮区吉敷町4-248-1 町田ビル 2F,
"
            
            九州 熱中屋 和光 LIVE
            （ネッチュウヤワコウライブ）
            
          ",埼玉県和光市丸山台1-10-6 志幸21ビル B1F,"
                    https://www.instagram.com/necchuya/
"
"
            
            3時間食べ飲み放題 2980円 個室居酒屋 一僖 大宮店
            
            
          ",埼玉県さいたま市大宮区仲町1-7-2 大宮仲町ホクシンビル 4F,
"
            
            豪快肉料理とクラフトビール 肉酒場SOKA80
            （ソウカエイティ）
            
          ",埼玉県草加市氷川町2148-1 アークプラザビル 4F,"
                    https://www.instagram.com/soka.80/
"
"
            
            馬肉専門卸問屋 勝馬
            
            
          ",埼玉県さいたま市中央区下落合1712,"
                    https://www.instagram.com/kachiuma_yono
"
"
            
            日本料理 四季彩
            （しきさい）
            
          ",埼玉県さいたま市浦和区仲町2-5-1 ロイヤルパインズホテル浦和 5F,
"
            
            大宮キッチン
            （OMIYA KITCHEN）
            
          ",埼玉県さいたま市大宮区大門町1-61-1 ＤＫ大宮ビル 4F,
"
            
            Red2
            （レッドツー）
            
          ",埼玉県さいたま市浦和区北浦和4-1-13 3F,"
                    https://www.instagram.com/masako.yamamoto.7370013/
"
"
            
            肉割烹 喰心
            （クウシン）
            
          ",埼玉県さいたま市大宮区仲町1-97-1 吉建ビルB1F,"
                    https://www.instagram.com/kushin_official/
"
"
            
            七輪焼肉 安安 指扇店
            
            
          ",埼玉県さいたま市西区大字指扇1068-1,
"
            
            牛楽苑 イオン南越谷店
            
            
          ",埼玉県越谷市南越谷1-2876-1 越谷サンシティ 1F,
"
            
            WILLIAMS BROOKLYN RESTAURANT
            （【旧店名】ウィリアムズコーヒーワークス）
            
          ",埼玉県久喜市久喜中央1-3-14,"
                    https://www.instagram.com/williams_brooklyn_restaurant
"
"
            
            九州地鶏×完全個室 地鶏匠 大宮店
            （じどりたくみ【旧店名】個室で味わう特選しゃぶしゃぶ 味彩）
            
          ",埼玉県さいたま市大宮区仲町1-17 DAITOビル 2F,
"
            
            まるし さいたま新都心店
            （マルシ）
            
          ",埼玉県さいたま市大宮区北袋町1-103-1 中村ビル　1F,
"
            
            肉まる
            
            
          ",埼玉県朝霞市仲町1-1-29 さらしなビル 1F,"
                    https://www.instagram.com/asaka2929
"
"
            
            modern cafe for tuna
            
            
          ",埼玉県川越市新富町1-12-13 アーバンビル クレアモール 2F,"
                    https://www.instagram.com/moderncafe_fortuna
"
"
            
            全170品食べ飲み放題 個室×チーズと肉バル VeSS 大宮店
            （ベス）
            
          ",埼玉県さいたま市大宮区桜木町1-3-1 宮下L2ビル 3F,
"
            
            川越 いちき クレアモール店
            
            
          ",埼玉県川越市新富町1-12-3,"
                    https://www.instagram.com/ichikikawagoe
"
"
            
            炭火 鳥もと
            （【旧店名】連雀町炭火焼き鳥 もとはし）
            
          ",埼玉県川越市連雀町7-2,"
                    https://www.instagram.com/torimoto08
"
"
            
            肉山 おおみや
            （にくやま おおみや）
            
          ",埼玉県さいたま市大宮区桜木町2-2-5 松村ビル 4F,"
                    https://www.instagram.com/nikuyamaoomiya/
"
"
            
            魚盛 大宮店
            
            
          ",埼玉県さいたま市大宮区桜木町1-5-7 ホームリィー5ビル 4Ｆ,
"
            
            全席個室居酒屋 忍家 若葉店
            
            
          ",埼玉県坂戸市千代田3-22-2,
"
            
            うみ道楽 志木駅前店
            
            
          ",埼玉県新座市東北2-39-10 ドゥーセットビル弐番館　５Ｆ,
"
            
            たまごカフェ
            
            
          ",埼玉県蓮田市閏戸2013-3,
"
            
            博多 もつ鍋と溶岩ホルモン焼き 華雫
            （カシズク）
            
          ",埼玉県さいたま市大宮区桜木町1-1-17 トリムビル　６Ｆ,
"
            
            北の味紀行と地酒 北海道 朝霞台店
            （Hokkaido）
            
          ",埼玉県朝霞市浜崎1-3-6 ルクール B1F,
"
            
            窯マチルダ
            （カママチルダ）
            
          ",埼玉県熊谷市筑波2-54 オーキッドビル 1F,
"
            
            パスタが美味しいイタリアン グッディーズカフェ
            
            
          ",埼玉県さいたま市浦和区仲町2-6-10,"
                    https://www.instagram.com/goodies_cafe
"
"
            
            近江屋精肉店 所沢亭
            
            
          ",埼玉県所沢市東住吉6-2,"
                    https://www.instagram.com/oumiya_tokoro
"
"
            
            卸）せんげん台食肉センター 和
            （NAGOMI）
            
          ",埼玉県越谷市千間台東1-1-6 クオレ千間台ビル 2Ｆ,
"
            
            酒楽庵
            
            
          ",埼玉県所沢市日吉町8-3 三上ビル2F,"
                    https://www.instagram.com/shurakuan01/?hl=ja
"
"
            
            餃子酒場永順
            
            
          ",埼玉県さいたま市大宮区宮町1-82 大宮河西ビル,
"
            
            七輪焼肉 安安 川口店
            
            
          ",埼玉県川口市栄町3-10-13 小林ﾋﾞﾙ2F,
"
            
            居酒屋 うかい
            
            
          ",埼玉県坂戸市南町2-3 開運ビル 1F,
"
            
            全席個室 楽蔵 大宮東口駅前店
            （RAKUZO）
            
          ",埼玉県さいたま市大宮区大門町1-61-1 DK大宮ビル3階,
"
            
            イルキャンティ バーゼ 入間店
            （iL-CHIANTI BASE【旧店名】イルキャンティカフェ）
            
          ",埼玉県入間市東町1-7-13 ジョンソンタウン内,
"
            
            うりずんの風
            （ウリズンノカゼ）
            
          ",埼玉県川越市脇田町6-4 尾高ビル　２Ｆ,
"
            
            南欧田舎料理のお店タパス
            （Tapas）
            
          ",埼玉県さいたま市大宮区大門町2-109 大越ビル　１Ｆ,"
                    https://www.instagram.com/tapas5500
"
"
            
            寿司海鮮 御旦孤 さいたま新都心店
            （すしかいせん おたんこ）
            
          ",埼玉県さいたま市中央区新都心10 けやきひろば  1F,
"
            
            ダーツバー＆ダイニング REGALO 大宮東口駅前店
            （レガロ）
            
          ",埼玉県さいたま市大宮区大門町1-92,
"
            
            大衆酒場どんどん 南越谷店
            
            
          ",埼玉県越谷市南越谷1-20-5 サンライズ南越谷 1F,"
                    https://www.instagram.com/taishudondon/
"
"
            
            個室居酒屋 美味門 大宮店
            （コシツイザカヤ ウマイモン）
            
          ",埼玉県さいたま市大宮区桜木町1-8-3 サンユービル 5Ｆ,
"
            
            三郷 焼肉 勉強
            
            
          ",埼玉県三郷市早稲田2-3-14 2F,"
                    https://www.instagram.com/yakiniku_benkei/?hl=ja
"
"
            
            しゃぶしゃぶ温野菜 和光市南口店
            （しゃぶしゃぶおんやさい）
            
          ",埼玉県和光市丸山台1-4-4-1F,
"
            
            大宮牛タンいろ葉
            
            
          ",埼玉県さいたま市大宮区宮町1-77-5 マガザン大宮,"
                    https://www.instagram.com/omiyairoha/
"
"
            
            旬菜 鮮魚 いちえ
            
            
          ",埼玉県さいたま市南区南本町1-3-12,"
                    https://www.instagram.com/syunsaisengyo.ichie
"
"
            
            signpost
            （サインポスト）
            
          ",埼玉県川口市幸町2-2-16 クレールマルシェ 202,"
                    https://www.instagram.com/signpost_wine_kawaguchi/
"
